limited Solar_eclipse_of_August_21,_2017.txt 1 3824 
emergency Solar_eclipse_of_August_21,_2017.txt 2 3005 4180 
showing Solar_eclipse_of_August_21,_2017.txt 1 4636 
projects Solar_eclipse_of_August_21,_2017.txt 3 3316 3715 4966 
submission Solar_eclipse_of_August_21,_2017.txt 1 2479 
6939.69 Solar_eclipse_of_August_21,_2017.txt 1 4890 
popular Solar_eclipse_of_August_21,_2017.txt 1 308 
cones Solar_eclipse_of_August_21,_2017.txt 1 3699 
some Solar_eclipse_of_August_21,_2017.txt 9 547 690 1239 1567 2083 2352 2734 3032 3582 
aired Solar_eclipse_of_August_21,_2017.txt 1 1736 
streaming Solar_eclipse_of_August_21,_2017.txt 2 1622 1727 
3.8 Solar_eclipse_of_August_21,_2017.txt 1 4915 
and/or Solar_eclipse_of_August_21,_2017.txt 1 2594 
5:16 Solar_eclipse_of_August_21,_2017.txt 1 226 
per Solar_eclipse_of_August_21,_2017.txt 4 3405 3649 3663 4369 
1257 Solar_eclipse_of_August_21,_2017.txt 1 1017 
be Solar_eclipse_of_August_21,_2017.txt 8 362 929 1134 1198 1666 2234 2625 4383 
continuing Solar_eclipse_of_August_21,_2017.txt 1 3456 
lasts Solar_eclipse_of_August_21,_2017.txt 1 4286 
obscured Solar_eclipse_of_August_21,_2017.txt 1 4386 
intense Solar_eclipse_of_August_21,_2017.txt 1 2255 
most Solar_eclipse_of_August_21,_2017.txt 7 188 1884 2216 2220 2660 2834 2845 
75 Solar_eclipse_of_August_21,_2017.txt 1 3968 
illegal Solar_eclipse_of_August_21,_2017.txt 1 2989 
shiny Solar_eclipse_of_August_21,_2017.txt 1 2243 
block Solar_eclipse_of_August_21,_2017.txt 3 2215 2262 4176 
colorado Solar_eclipse_of_August_21,_2017.txt 1 3909 
into Solar_eclipse_of_August_21,_2017.txt 4 1809 3466 3907 4587 
within Solar_eclipse_of_August_21,_2017.txt 6 28 424 986 1100 2539 3184 
farragut Solar_eclipse_of_August_21,_2017.txt 1 3984 
ontario Solar_eclipse_of_August_21,_2017.txt 1 1401 
span Solar_eclipse_of_August_21,_2017.txt 2 756 1102 
long Solar_eclipse_of_August_21,_2017.txt 3 755 1203 2580 
hydropower Solar_eclipse_of_August_21,_2017.txt 1 4410 
vendors Solar_eclipse_of_August_21,_2017.txt 2 2319 2350 
retina Solar_eclipse_of_August_21,_2017.txt 3 2284 2566 2575 
atlantic Solar_eclipse_of_August_21,_2017.txt 3 44 971 1190 
line Solar_eclipse_of_August_21,_2017.txt 2 1554 3107 
deployed Solar_eclipse_of_August_21,_2017.txt 1 3073 
utc Solar_eclipse_of_August_21,_2017.txt 6 215 228 247 265 274 472 
paducah Solar_eclipse_of_August_21,_2017.txt 2 1091 1130 
uv Solar_eclipse_of_August_21,_2017.txt 2 2221 2264 
up Solar_eclipse_of_August_21,_2017.txt 11 853 2197 2206 3062 3433 3575 3673 3701 3897 4353 4407 
us Solar_eclipse_of_August_21,_2017.txt 7 2036 3262 3265 3436 3571 3579 4685 
uk Solar_eclipse_of_August_21,_2017.txt 1 1510 
planes Solar_eclipse_of_August_21,_2017.txt 1 3276 
continuously Solar_eclipse_of_August_21,_2017.txt 1 2858 
similar Solar_eclipse_of_August_21,_2017.txt 4 730 1166 2530 3596 
called Solar_eclipse_of_August_21,_2017.txt 1 3253 
m Solar_eclipse_of_August_21,_2017.txt 2 1857 1871 
unsafe Solar_eclipse_of_August_21,_2017.txt 1 2394 
duration Solar_eclipse_of_August_21,_2017.txt 3 561 1926 4871 
single Solar_eclipse_of_August_21,_2017.txt 1 3621 
217,000-vehicle Solar_eclipse_of_August_21,_2017.txt 1 3870 
1891 Solar_eclipse_of_August_21,_2017.txt 1 4824 
ancestors Solar_eclipse_of_August_21,_2017.txt 1 2022 
application Solar_eclipse_of_August_21,_2017.txt 1 4556 
becomes Solar_eclipse_of_August_21,_2017.txt 1 2865 
department Solar_eclipse_of_August_21,_2017.txt 6 3142 3313 3589 3990 4186 4213 
2648 Solar_eclipse_of_August_21,_2017.txt 1 4844 
kansas Solar_eclipse_of_August_21,_2017.txt 3 445 492 1277 
problems Solar_eclipse_of_August_21,_2017.txt 6 340 2053 2618 3178 3204 3948 
prepared Solar_eclipse_of_August_21,_2017.txt 1 4435 
lens Solar_eclipse_of_August_21,_2017.txt 1 2883 
generated Solar_eclipse_of_August_21,_2017.txt 2 2073 4063 
lane Solar_eclipse_of_August_21,_2017.txt 1 3623 
obrien Solar_eclipse_of_August_21,_2017.txt 1 1734 
vehicles Solar_eclipse_of_August_21,_2017.txt 5 3648 3662 3862 3878 4181 
orbit Solar_eclipse_of_August_21,_2017.txt 2 1931 4777 
reports Solar_eclipse_of_August_21,_2017.txt 3 2074 2459 3113 
nasa Solar_eclipse_of_August_21,_2017.txt 8 634 735 1301 1617 1626 1629 1657 2154 
2006 Solar_eclipse_of_August_21,_2017.txt 1 4612 
dot Solar_eclipse_of_August_21,_2017.txt 1 4133 
requires Solar_eclipse_of_August_21,_2017.txt 1 2268 
having Solar_eclipse_of_August_21,_2017.txt 1 4396 
gw Solar_eclipse_of_August_21,_2017.txt 4 4373 4526 4529 4533 
partial Solar_eclipse_of_August_21,_2017.txt 20 48 167 210 254 517 649 717 743 1346 1354 1413 1453 1475 1577 2774 4456 4651 4724 4808 4853 
issued Solar_eclipse_of_August_21,_2017.txt 1 2314 
existing Solar_eclipse_of_August_21,_2017.txt 1 3117 
highways Solar_eclipse_of_August_21,_2017.txt 3 3828 3891 4151 
edt Solar_eclipse_of_August_21,_2017.txt 2 250 1315 
afterimages Solar_eclipse_of_August_21,_2017.txt 1 2605 
go Solar_eclipse_of_August_21,_2017.txt 1 2032 
tweeted Solar_eclipse_of_August_21,_2017.txt 1 3480 
citing Solar_eclipse_of_August_21,_2017.txt 1 2333 
agencys Solar_eclipse_of_August_21,_2017.txt 1 2170 
fovea Solar_eclipse_of_August_21,_2017.txt 2 2570 2655 
include Solar_eclipse_of_August_21,_2017.txt 2 2543 2589 
sent Solar_eclipse_of_August_21,_2017.txt 2 1805 4468 
grid Solar_eclipse_of_August_21,_2017.txt 1 4391 
facebook Solar_eclipse_of_August_21,_2017.txt 1 1730 
cellular Solar_eclipse_of_August_21,_2017.txt 1 2794 
categories Solar_eclipse_of_August_21,_2017.txt 2 4967 4969 
arrange Solar_eclipse_of_August_21,_2017.txt 1 2969 
entire Solar_eclipse_of_August_21,_2017.txt 3 34 125 2046 
36580n Solar_eclipse_of_August_21,_2017.txt 1 594 
michael Solar_eclipse_of_August_21,_2017.txt 1 3213 
fewer Solar_eclipse_of_August_21,_2017.txt 1 3930 
optics Solar_eclipse_of_August_21,_2017.txt 1 2363 
noted Solar_eclipse_of_August_21,_2017.txt 2 2386 3809 
joey Solar_eclipse_of_August_21,_2017.txt 1 2008 
logistics Solar_eclipse_of_August_21,_2017.txt 1 2973 
smaller Solar_eclipse_of_August_21,_2017.txt 3 350 395 2965 
video Solar_eclipse_of_August_21,_2017.txt 1 97 
dynamics Solar_eclipse_of_August_21,_2017.txt 1 1943 
chicago Solar_eclipse_of_August_21,_2017.txt 1 2060 
off-highway Solar_eclipse_of_August_21,_2017.txt 1 3921 
waiting Solar_eclipse_of_August_21,_2017.txt 2 3282 3735 
turnaround Solar_eclipse_of_August_21,_2017.txt 1 1753 
body Solar_eclipse_of_August_21,_2017.txt 1 4581 
respectively Solar_eclipse_of_August_21,_2017.txt 1 1694 
gathered Solar_eclipse_of_August_21,_2017.txt 1 1956 
3,0003,500 Solar_eclipse_of_August_21,_2017.txt 1 4398 
12312-2 Solar_eclipse_of_August_21,_2017.txt 1 2306 
following Solar_eclipse_of_August_21,_2017.txt 2 2663 3872 
others Solar_eclipse_of_August_21,_2017.txt 3 1449 3530 3808 
extreme Solar_eclipse_of_August_21,_2017.txt 1 1542 
great Solar_eclipse_of_August_21,_2017.txt 1 16 
coops Solar_eclipse_of_August_21,_2017.txt 1 2094 
30 Solar_eclipse_of_August_21,_2017.txt 1 3548 
35 Solar_eclipse_of_August_21,_2017.txt 1 682 
34 Solar_eclipse_of_August_21,_2017.txt 2 791 3970 
products Solar_eclipse_of_August_21,_2017.txt 4 2302 2327 2351 2472 
boomsday Solar_eclipse_of_August_21,_2017.txt 1 4081 
residents Solar_eclipse_of_August_21,_2017.txt 2 3071 4030 
wb-57f Solar_eclipse_of_August_21,_2017.txt 1 635 
clark Solar_eclipse_of_August_21,_2017.txt 1 3628 
danger Solar_eclipse_of_August_21,_2017.txt 2 2687 2738 
app Solar_eclipse_of_August_21,_2017.txt 1 1788 
manage Solar_eclipse_of_August_21,_2017.txt 1 3257 
decrease Solar_eclipse_of_August_21,_2017.txt 1 4343 
duck Solar_eclipse_of_August_21,_2017.txt 1 4420 
idahos Solar_eclipse_of_August_21,_2017.txt 1 3002 
lima Solar_eclipse_of_August_21,_2017.txt 1 3677 
2:44 Solar_eclipse_of_August_21,_2017.txt 1 248 
use Solar_eclipse_of_August_21,_2017.txt 1 2270 
from Solar_eclipse_of_August_21,_2017.txt 35 39 56 145 461 620 654 736 819 833 841 887 1252 1294 1336 1364 1417 1501 1596 1652 1673 1679 1683 1878 1958 2091 3324 3354 3470 3515 3539 4524 4606 4837 4930 4942 
2:41 Solar_eclipse_of_August_21,_2017.txt 1 509 
usa Solar_eclipse_of_August_21,_2017.txt 1 4248 
springdale Solar_eclipse_of_August_21,_2017.txt 1 2434 
camera Solar_eclipse_of_August_21,_2017.txt 3 2808 2814 2895 
totality Solar_eclipse_of_August_21,_2017.txt 29 155 175 563 675 761 894 950 966 982 1010 1169 1196 1230 1245 1293 1642 1710 1916 2123 2954 3048 3106 3188 3293 3468 4034 4621 4647 4873 
1/5 Solar_eclipse_of_August_21,_2017.txt 1 4910 
upcoming Solar_eclipse_of_August_21,_2017.txt 1 1045 
started Solar_eclipse_of_August_21,_2017.txt 1 4805 
41.6 Solar_eclipse_of_August_21,_2017.txt 1 567 
patrol Solar_eclipse_of_August_21,_2017.txt 2 3416 4108 
occurred Solar_eclipse_of_August_21,_2017.txt 2 869 1520 
visibility Solar_eclipse_of_August_21,_2017.txt 2 251 411 
crosses Solar_eclipse_of_August_21,_2017.txt 1 1039 
animals Solar_eclipse_of_August_21,_2017.txt 1 2085 
this Solar_eclipse_of_August_21,_2017.txt 10 115 190 278 612 811 1006 2844 2922 3732 4782 
anywhere Solar_eclipse_of_August_21,_2017.txt 2 146 1877 
crossed Solar_eclipse_of_August_21,_2017.txt 3 32 903 3295 
parkway Solar_eclipse_of_August_21,_2017.txt 1 4269 
proof Solar_eclipse_of_August_21,_2017.txt 1 2486 
reserved Solar_eclipse_of_August_21,_2017.txt 1 3051 
links Solar_eclipse_of_August_21,_2017.txt 1 4952 
high Solar_eclipse_of_August_21,_2017.txt 1 3717 
effectively Solar_eclipse_of_August_21,_2017.txt 1 2261 
37.58333n Solar_eclipse_of_August_21,_2017.txt 1 573 
counterfeit Solar_eclipse_of_August_21,_2017.txt 5 355 2185 2202 2390 2447 
united Solar_eclipse_of_August_21,_2017.txt 20 36 127 150 185 375 438 623 808 821 844 873 941 953 988 1031 1339 2669 3207 4928 4940 
1776 Solar_eclipse_of_August_21,_2017.txt 1 1003 
destroying Solar_eclipse_of_August_21,_2017.txt 1 2881 
campers Solar_eclipse_of_August_21,_2017.txt 1 1218 
six Solar_eclipse_of_August_21,_2017.txt 3 2781 3074 4005 
formations Solar_eclipse_of_August_21,_2017.txt 1 2133 
regions Solar_eclipse_of_August_21,_2017.txt 1 1549 
located Solar_eclipse_of_August_21,_2017.txt 1 606 
animal Solar_eclipse_of_August_21,_2017.txt 1 2079 
struggled Solar_eclipse_of_August_21,_2017.txt 1 2967 
filament Solar_eclipse_of_August_21,_2017.txt 1 2248 
counterfeits Solar_eclipse_of_August_21,_2017.txt 3 2347 2374 2401 
farm Solar_eclipse_of_August_21,_2017.txt 1 2084 
hazard Solar_eclipse_of_August_21,_2017.txt 1 364 
3 Solar_eclipse_of_August_21,_2017.txt 1 855 
formerly-held Solar_eclipse_of_August_21,_2017.txt 1 4080 
light Solar_eclipse_of_August_21,_2017.txt 11 2218 2224 2229 2267 2409 2547 2603 2648 2870 2891 2913 
volunteers Solar_eclipse_of_August_21,_2017.txt 1 1905 
longest Solar_eclipse_of_August_21,_2017.txt 3 559 861 4860 
produces Solar_eclipse_of_August_21,_2017.txt 1 2383 
astronomical Solar_eclipse_of_August_21,_2017.txt 1 2298 
36.96667n Solar_eclipse_of_August_21,_2017.txt 1 596 
produced Solar_eclipse_of_August_21,_2017.txt 1 4664 
including Solar_eclipse_of_August_21,_2017.txt 6 664 1081 1612 1772 2086 2995 
delay Solar_eclipse_of_August_21,_2017.txt 1 3680 
37.58333 Solar_eclipse_of_August_21,_2017.txt 1 575 
ships Solar_eclipse_of_August_21,_2017.txt 1 1425 
accredited Solar_eclipse_of_August_21,_2017.txt 2 2342 2489 
permanent Solar_eclipse_of_August_21,_2017.txt 3 2551 2626 2678 
degrees Solar_eclipse_of_August_21,_2017.txt 4 785 792 797 802 
stalled Solar_eclipse_of_August_21,_2017.txt 1 3486 
orange Solar_eclipse_of_August_21,_2017.txt 1 1553 
2017 Solar_eclipse_of_August_21,_2017.txt 14 5 13 957 1037 1175 2466 2494 2720 4334 4389 4542 4550 4732 4962 
antidote Solar_eclipse_of_August_21,_2017.txt 1 3101 
eastward Solar_eclipse_of_August_21,_2017.txt 1 481 
greater Solar_eclipse_of_August_21,_2017.txt 1 523 
dam Solar_eclipse_of_August_21,_2017.txt 1 3630 
flew Solar_eclipse_of_August_21,_2017.txt 1 636 
harrisburg Solar_eclipse_of_August_21,_2017.txt 1 1114 
satellites Solar_eclipse_of_August_21,_2017.txt 1 1933 
day Solar_eclipse_of_August_21,_2017.txt 4 1747 3650 3653 4127 
89.11667 Solar_eclipse_of_August_21,_2017.txt 1 576 
february Solar_eclipse_of_August_21,_2017.txt 2 136 900 
edit Solar_eclipse_of_August_21,_2017.txt 45 412 749 810 1208 1210 1249 1256 1268 1278 1280 1282 1284 1292 1329 1331 1334 1341 1352 1411 1451 1470 1565 1590 2188 2522 2811 2931 3179 4296 4539 4618 4620 4622 4634 4652 4668 4686 4689 4751 4781 4881 4921 4947 4950 4953 
warned Solar_eclipse_of_August_21,_2017.txt 4 2325 2723 4153 4214 
university Solar_eclipse_of_August_21,_2017.txt 2 1217 1297 
covering Solar_eclipse_of_August_21,_2017.txt 1 4453 
585,000 Solar_eclipse_of_August_21,_2017.txt 1 3758 
mode Solar_eclipse_of_August_21,_2017.txt 1 2853 
crossing Solar_eclipse_of_August_21,_2017.txt 5 433 967 1186 4926 4938 
glasses Solar_eclipse_of_August_21,_2017.txt 15 357 2005 2018 2043 2187 2203 2211 2260 2322 2372 2385 2391 2449 2503 4696 
related Solar_eclipse_of_August_21,_2017.txt 2 3918 4687 
aggravated Solar_eclipse_of_August_21,_2017.txt 1 4017 
society Solar_eclipse_of_August_21,_2017.txt 1 2299 
89 Solar_eclipse_of_August_21,_2017.txt 1 1365 
measure Solar_eclipse_of_August_21,_2017.txt 1 4329 
our Solar_eclipse_of_August_21,_2017.txt 1 2021 
87 Solar_eclipse_of_August_21,_2017.txt 1 1318 
special Solar_eclipse_of_August_21,_2017.txt 1 1738 
out Solar_eclipse_of_August_21,_2017.txt 3 2090 2442 3192 
announced Solar_eclipse_of_August_21,_2017.txt 3 1618 1690 1763 
spot Solar_eclipse_of_August_21,_2017.txt 2 2654 2711 
fourteen Solar_eclipse_of_August_21,_2017.txt 1 434 
completely Solar_eclipse_of_August_21,_2017.txt 1 4628 
york Solar_eclipse_of_August_21,_2017.txt 1 2634 
20,000 Solar_eclipse_of_August_21,_2017.txt 1 1854 
mainland Solar_eclipse_of_August_21,_2017.txt 1 149 
her Solar_eclipse_of_August_21,_2017.txt 3 2761 2767 2787 
dubbed Solar_eclipse_of_August_21,_2017.txt 2 14 4246 
determining Solar_eclipse_of_August_21,_2017.txt 1 2257 
could Solar_eclipse_of_August_21,_2017.txt 3 1873 2976 4168 
florida Solar_eclipse_of_August_21,_2017.txt 1 888 
times Solar_eclipse_of_August_21,_2017.txt 3 2183 3667 4273 
length Solar_eclipse_of_August_21,_2017.txt 2 852 3975 
repeats Solar_eclipse_of_August_21,_2017.txt 3 4761 4885 4909 
south Solar_eclipse_of_August_21,_2017.txt 20 64 67 105 240 455 506 514 583 672 685 1071 1332 1409 1441 3043 3438 3477 3491 3522 3631 
450 Solar_eclipse_of_August_21,_2017.txt 1 4495 
owner Solar_eclipse_of_August_21,_2017.txt 1 2378 
reached Solar_eclipse_of_August_21,_2017.txt 3 3150 3969 4816 
management Solar_eclipse_of_August_21,_2017.txt 2 3006 4424 
festival Solar_eclipse_of_August_21,_2017.txt 2 4068 4083 
detailing Solar_eclipse_of_August_21,_2017.txt 1 2367 
their Solar_eclipse_of_August_21,_2017.txt 6 1767 2093 2140 3127 3334 4056 
tourists Solar_eclipse_of_August_21,_2017.txt 1 4259 
perryville Solar_eclipse_of_August_21,_2017.txt 1 1124 
exactly Solar_eclipse_of_August_21,_2017.txt 1 2798 
july Solar_eclipse_of_August_21,_2017.txt 3 826 2464 4709 
photograph Solar_eclipse_of_August_21,_2017.txt 1 710 
collecting Solar_eclipse_of_August_21,_2017.txt 1 4694 
1.6 Solar_eclipse_of_August_21,_2017.txt 1 3069 
weiser Solar_eclipse_of_August_21,_2017.txt 1 1253 
viewer Solar_eclipse_of_August_21,_2017.txt 1 2192 
p.m Solar_eclipse_of_August_21,_2017.txt 7 214 227 246 249 264 273 510 
have Solar_eclipse_of_August_21,_2017.txt 9 1163 1865 1874 2024 2477 2977 3330 3760 4087 
border Solar_eclipse_of_August_21,_2017.txt 1 3430 
viewed Solar_eclipse_of_August_21,_2017.txt 1 1667 
instrumentation Solar_eclipse_of_August_21,_2017.txt 1 1912 
jurisdictions Solar_eclipse_of_August_21,_2017.txt 1 3016 
able Solar_eclipse_of_August_21,_2017.txt 1 2235 
bonnaroo Solar_eclipse_of_August_21,_2017.txt 1 4066 
which Solar_eclipse_of_August_21,_2017.txt 16 829 1748 1971 2142 2273 2364 2382 2528 2556 2789 2885 3320 4244 4404 4458 4643 
centre Solar_eclipse_of_August_21,_2017.txt 1 1403 
who Solar_eclipse_of_August_21,_2017.txt 4 2516 2696 3462 3837 
harmful Solar_eclipse_of_August_21,_2017.txt 2 2408 2428 
petals Solar_eclipse_of_August_21,_2017.txt 1 2141 
montana Solar_eclipse_of_August_21,_2017.txt 3 442 911 3588 
eight Solar_eclipse_of_August_21,_2017.txt 1 3458 
gallery Solar_eclipse_of_August_21,_2017.txt 2 742 4619 
neighboring Solar_eclipse_of_August_21,_2017.txt 1 3337 
1,000 Solar_eclipse_of_August_21,_2017.txt 2 1891 3647 
normally Solar_eclipse_of_August_21,_2017.txt 2 3380 3526 
planning Solar_eclipse_of_August_21,_2017.txt 2 2930 3302 
6,100 Solar_eclipse_of_August_21,_2017.txt 1 1856 
soldiers Solar_eclipse_of_August_21,_2017.txt 1 3080 
based Solar_eclipse_of_August_21,_2017.txt 2 2817 3817 
cookeville Solar_eclipse_of_August_21,_2017.txt 1 1299 
receptors Solar_eclipse_of_August_21,_2017.txt 1 2287 
should Solar_eclipse_of_August_21,_2017.txt 2 2232 4086 
partially Solar_eclipse_of_August_21,_2017.txt 3 76 1988 4658 
local Solar_eclipse_of_August_21,_2017.txt 1 3498 
penumbra Solar_eclipse_of_August_21,_2017.txt 1 663 
watching Solar_eclipse_of_August_21,_2017.txt 2 1258 2012 
mainly Solar_eclipse_of_August_21,_2017.txt 1 4374 
photography Solar_eclipse_of_August_21,_2017.txt 1 300 
ones Solar_eclipse_of_August_21,_2017.txt 2 2294 2311 
areas Solar_eclipse_of_August_21,_2017.txt 2 670 3183 
trucks Solar_eclipse_of_August_21,_2017.txt 1 4142 
rapper Solar_eclipse_of_August_21,_2017.txt 1 2007 
cycles Solar_eclipse_of_August_21,_2017.txt 1 4895 
view Solar_eclipse_of_August_21,_2017.txt 4 923 934 2852 3137 
available Solar_eclipse_of_August_21,_2017.txt 2 303 4144 
dillon Solar_eclipse_of_August_21,_2017.txt 1 3633 
national Solar_eclipse_of_August_21,_2017.txt 4 1265 1899 3075 3250 
officials Solar_eclipse_of_August_21,_2017.txt 3 2947 3288 4053 
1:40 Solar_eclipse_of_August_21,_2017.txt 1 1314 
madisonville Solar_eclipse_of_August_21,_2017.txt 1 1289 
closer Solar_eclipse_of_August_21,_2017.txt 1 3544 
madras Solar_eclipse_of_August_21,_2017.txt 3 1223 3260 3267 
state Solar_eclipse_of_August_21,_2017.txt 16 580 1216 3013 3060 3162 3300 3311 3411 3561 3711 3721 3756 3963 4052 4132 4490 
closed Solar_eclipse_of_August_21,_2017.txt 1 2139 
complement Solar_eclipse_of_August_21,_2017.txt 1 4138 
comparable Solar_eclipse_of_August_21,_2017.txt 1 851 
nashville Solar_eclipse_of_August_21,_2017.txt 1 501 
opening Solar_eclipse_of_August_21,_2017.txt 1 2148 
a.m Solar_eclipse_of_August_21,_2017.txt 6 217 230 267 276 469 530 
job Solar_eclipse_of_August_21,_2017.txt 1 4012 
seaboard Solar_eclipse_of_August_21,_2017.txt 1 886 
police Solar_eclipse_of_August_21,_2017.txt 1 3412 
problem Solar_eclipse_of_August_21,_2017.txt 4 2345 2836 2872 2897 
taking Solar_eclipse_of_August_21,_2017.txt 1 3504 
ramp Solar_eclipse_of_August_21,_2017.txt 2 4352 4364 
incident Solar_eclipse_of_August_21,_2017.txt 1 2586 
attributed Solar_eclipse_of_August_21,_2017.txt 1 4023 
april Solar_eclipse_of_August_21,_2017.txt 3 378 1050 4856 
heliospheric Solar_eclipse_of_August_21,_2017.txt 1 1952 
streams Solar_eclipse_of_August_21,_2017.txt 1 1819 
bristol Solar_eclipse_of_August_21,_2017.txt 1 4077 
passing Solar_eclipse_of_August_21,_2017.txt 1 38 
narrowed Solar_eclipse_of_August_21,_2017.txt 1 3613 
earning Solar_eclipse_of_August_21,_2017.txt 1 1143 
addition Solar_eclipse_of_August_21,_2017.txt 1 4905 
2019 Solar_eclipse_of_August_21,_2017.txt 2 4711 4722 
shoulders Solar_eclipse_of_August_21,_2017.txt 1 4161 
stationed Solar_eclipse_of_August_21,_2017.txt 3 1634 1705 3414 
route Solar_eclipse_of_August_21,_2017.txt 1 2937 
lgf Solar_eclipse_of_August_21,_2017.txt 1 1843 
2015 Solar_eclipse_of_August_21,_2017.txt 1 4510 
an Solar_eclipse_of_August_21,_2017.txt 19 848 936 1074 1285 2099 2341 2488 2630 2740 3215 3238 3684 3793 3859 3868 3920 4297 4588 4604 
spain Solar_eclipse_of_August_21,_2017.txt 1 1516 
unlike Solar_eclipse_of_August_21,_2017.txt 1 2034 
norway Solar_eclipse_of_August_21,_2017.txt 1 1511 
bumper-to-bumper Solar_eclipse_of_August_21,_2017.txt 1 3484 
will Solar_eclipse_of_August_21,_2017.txt 7 372 1093 1132 1162 1197 1662 4862 
reliability Solar_eclipse_of_August_21,_2017.txt 1 4321 
eastbound Solar_eclipse_of_August_21,_2017.txt 1 3890 
almost Solar_eclipse_of_August_21,_2017.txt 1 944 
thus Solar_eclipse_of_August_21,_2017.txt 2 1094 2289 
surprisingly Solar_eclipse_of_August_21,_2017.txt 1 2797 
examined Solar_eclipse_of_August_21,_2017.txt 1 2791 
began Solar_eclipse_of_August_21,_2017.txt 6 200 259 2096 3301 4452 4693 
oregons Solar_eclipse_of_August_21,_2017.txt 1 474 
cross Solar_eclipse_of_August_21,_2017.txt 1 373 
member Solar_eclipse_of_August_21,_2017.txt 2 4753 4849 
america"later Solar_eclipse_of_August_21,_2017.txt 1 1744 
northwest Solar_eclipse_of_August_21,_2017.txt 2 921 1543 
536,000 Solar_eclipse_of_August_21,_2017.txt 1 3773 
chronicling Solar_eclipse_of_August_21,_2017.txt 1 1740 
difficult Solar_eclipse_of_August_21,_2017.txt 1 4226 
columbia Solar_eclipse_of_August_21,_2017.txt 2 505 1370 
4.4 Solar_eclipse_of_August_21,_2017.txt 1 1310 
effect Solar_eclipse_of_August_21,_2017.txt 1 1237 
forecasts Solar_eclipse_of_August_21,_2017.txt 1 539 
long-term Solar_eclipse_of_August_21,_2017.txt 2 2427 2549 
robotic Solar_eclipse_of_August_21,_2017.txt 1 1786 
sunburn Solar_eclipse_of_August_21,_2017.txt 1 2532 
off Solar_eclipse_of_August_21,_2017.txt 2 2242 2418 
center Solar_eclipse_of_August_21,_2017.txt 1 3297 
well Solar_eclipse_of_August_21,_2017.txt 7 1128 1435 2226 2598 4146 4207 4264 
km/h Solar_eclipse_of_August_21,_2017.txt 1 3408 
350 Solar_eclipse_of_August_21,_2017.txt 1 3348 
audio Solar_eclipse_of_August_21,_2017.txt 1 112 
usual Solar_eclipse_of_August_21,_2017.txt 2 4419 4461 
less Solar_eclipse_of_August_21,_2017.txt 4 1104 3565 3645 4475 
percent Solar_eclipse_of_August_21,_2017.txt 7 179 1366 1373 3577 3788 3853 4385 
domestic Solar_eclipse_of_August_21,_2017.txt 1 2087 
sources Solar_eclipse_of_August_21,_2017.txt 1 2256 
virtual Solar_eclipse_of_August_21,_2017.txt 1 1791 
casper Solar_eclipse_of_August_21,_2017.txt 1 488 
dakota Solar_eclipse_of_August_21,_2017.txt 1 914 
web Solar_eclipse_of_August_21,_2017.txt 1 2178 
sky Solar_eclipse_of_August_21,_2017.txt 1 1811 
lake Solar_eclipse_of_August_21,_2017.txt 4 1069 1233 3357 3399 
citizen Solar_eclipse_of_August_21,_2017.txt 1 1903 
balloons Solar_eclipse_of_August_21,_2017.txt 2 1648 1808 
unprecedented Solar_eclipse_of_August_21,_2017.txt 1 4218 
identical Solar_eclipse_of_August_21,_2017.txt 1 1909 
increased Solar_eclipse_of_August_21,_2017.txt 2 2105 3851 
government Solar_eclipse_of_August_21,_2017.txt 1 1325 
utah Solar_eclipse_of_August_21,_2017.txt 3 3338 3429 3471 
increases Solar_eclipse_of_August_21,_2017.txt 1 3022 
260 Solar_eclipse_of_August_21,_2017.txt 1 3905 
cedar Solar_eclipse_of_August_21,_2017.txt 1 1068 
belgium Solar_eclipse_of_August_21,_2017.txt 1 1514 
intersection Solar_eclipse_of_August_21,_2017.txt 1 1055 
loss Solar_eclipse_of_August_21,_2017.txt 1 2590 
lincoln Solar_eclipse_of_August_21,_2017.txt 1 490 
like Solar_eclipse_of_August_21,_2017.txt 1 2998 
lost Solar_eclipse_of_August_21,_2017.txt 3 1852 4397 4493 
star-system Solar_eclipse_of_August_21,_2017.txt 1 771 
admitted Solar_eclipse_of_August_21,_2017.txt 1 3723 
page Solar_eclipse_of_August_21,_2017.txt 1 2159 
because Solar_eclipse_of_August_21,_2017.txt 2 2745 3081 
one-million-visitor Solar_eclipse_of_August_21,_2017.txt 1 3805 
footage Solar_eclipse_of_August_21,_2017.txt 1 1821 
library Solar_eclipse_of_August_21,_2017.txt 1 2435 
francisco Solar_eclipse_of_August_21,_2017.txt 1 1777 
110 Solar_eclipse_of_August_21,_2017.txt 1 430 
cleveland Solar_eclipse_of_August_21,_2017.txt 1 2059 
happens Solar_eclipse_of_August_21,_2017.txt 2 2144 2847 
avoid Solar_eclipse_of_August_21,_2017.txt 1 2308 
magnitude Solar_eclipse_of_August_21,_2017.txt 1 418 
ripped Solar_eclipse_of_August_21,_2017.txt 1 2417 
reaching Solar_eclipse_of_August_21,_2017.txt 1 504 
likewise Solar_eclipse_of_August_21,_2017.txt 1 4471 
although Solar_eclipse_of_August_21,_2017.txt 1 3180 
instinct Solar_eclipse_of_August_21,_2017.txt 1 2751 
residences Solar_eclipse_of_August_21,_2017.txt 1 4508 
counties Solar_eclipse_of_August_21,_2017.txt 1 4198 
